kx (1/m)	Eigenfrequency (Hz)	real(freq) (Hz)
0.0000	0.057584	0.057584
0.0000	0.15672	0.15672
0.0000	0.32157	0.32157
0.0000	0.87522	0.87522
0.0000	0.90805	0.90805
0.0000	1.7336	1.7336
0.0000	2.4723	2.4723
0.0000	2.7953	2.7953
0.0000	4.0414	4.0414
0.0000	4.7275	4.7275
0.0000	5.1351	5.1351
0.0000	6.5310	6.5310
0.0000	7.6787	7.6787
0.0000	8.2929	8.2929
0.0000	10.565	10.565
0.0000	11.511	11.511
0.0000	12.783	12.783
0.0000	14.171	14.171
0.0000	15.701	15.701
0.0000	16.475	16.475
0.0000	18.804	18.804
0.0000	19.594	19.594
0.0000	20.345	20.345
0.0000	23.809	23.809
0.0000	23.908	23.908
0.031416	4.8993	4.8993
0.031416	5.5992	5.5992
0.031416	5.9034	5.9034
0.031416	5.9517	5.9517
0.031416	6.1975	6.1975
0.031416	6.6739	6.6739
0.031416	7.5570	7.5570
0.031416	8.9374	8.9374
0.031416	10.448	10.448
0.031416	11.965	11.965
0.031416	13.431	13.431
0.031416	15.076	15.076
0.031416	16.061	16.061
0.031416	16.110	16.110
0.031416	16.350	16.350
0.031416	16.600	16.600
0.031416	17.446	17.446
0.031416	17.971	17.971
0.031416	19.029	19.029
0.031416	19.581	19.581
0.031416	21.029	21.029
0.031416	21.668	21.668
0.031416	24.121	24.121
0.031416	24.771	24.771
0.031416	27.118	27.118
0.031416	28.131	28.131
0.031416	29.478	29.478
0.031416	32.865	32.865
0.031416	33.485	33.485
0.031416	36.188	36.188
0.031416	38.675	38.675
0.031416	39.847	39.847
0.031416	43.135	43.135
0.031416	45.744	45.744
0.031416	46.386	46.386
0.031416	48.744	48.744
0.031416	51.906	51.906
0.031416	52.398	52.398
0.031416	54.283	54.283
0.031416	58.096	58.096
0.031416	58.464	58.464
0.031416	60.911	60.911
0.031416	66.114	66.114
0.031416	66.731	66.731
0.031416	68.922	68.922
0.031416	73.545	73.545
0.031416	74.560	74.560
0.031416	77.563	77.563
0.031416	80.149	80.149
0.031416	80.892	80.892
0.062832	7.0672	7.0672
0.062832	9.3515	9.3515
0.062832	11.756	11.756
0.062832	11.802	11.802
0.062832	11.830	11.830
0.062832	11.960	11.960
0.062832	12.203	12.203
0.062832	12.690	12.690
0.062832	13.729	13.729
0.062832	15.275	15.275
0.062832	16.737	16.737
0.062832	17.952	17.952
0.062832	19.366	19.366
0.062832	21.471	21.471
0.062832	24.024	24.024
0.062832	26.357	26.357
0.062832	27.384	27.384
0.062832	28.841	28.841
0.062832	31.127	31.127
0.062832	32.116	32.116
0.062832	32.148	32.148
0.062832	32.310	32.310
0.062832	32.631	32.631
0.062832	33.397	33.397
0.062832	33.855	33.855
0.062832	35.306	35.306
0.062832	36.121	36.121
0.062832	37.377	37.377
0.062832	39.007	39.007
0.062832	40.438	40.438
0.062832	42.738	42.738
0.062832	44.314	44.314
0.062832	46.332	46.332
0.062832	47.770	47.770
0.062832	50.217	50.217
0.062832	52.159	52.159
0.062832	52.716	52.716
0.062832	55.759	55.759
0.062832	56.652	56.652
0.062832	59.023	59.023
0.062832	61.847	61.847
0.062832	62.853	62.853
0.062832	66.886	66.886
0.062832	69.408	69.408
0.062832	70.801	70.801
0.062832	74.348	74.348
0.062832	77.190	77.190
0.062832	77.837	77.837
0.062832	81.415	81.415
0.062832	83.321	83.321
0.094248	8.6074	8.6074
0.094248	10.945	10.945
0.094248	15.109	15.109
0.094248	17.701	17.701
0.094248	17.714	17.714
0.094248	17.779	17.779
0.094248	17.922	17.922
0.094248	18.168	18.168
0.094248	18.547	18.547
0.094248	19.046	19.046
0.094248	20.183	20.183
0.094248	21.504	21.504
0.094248	22.805	22.805
0.094248	24.707	24.707
0.094248	26.671	26.671
0.094248	28.724	28.724
0.094248	30.889	30.889
0.094248	33.304	33.304
0.094248	36.147	36.147
0.094248	36.513	36.513
0.094248	39.554	39.554
0.094248	42.732	42.732
0.094248	45.361	45.361
0.094248	47.631	47.631
0.094248	48.173	48.173
0.094248	48.197	48.197
0.094248	48.287	48.287
0.094248	48.565	48.565
0.094248	49.000	49.000
0.094248	49.903	49.903
0.094248	50.496	50.496
0.094248	51.749	51.749
0.094248	52.573	52.573
0.094248	53.560	53.560
0.094248	54.984	54.984
0.094248	56.720	56.720
0.094248	58.010	58.010
0.094248	59.602	59.602
0.094248	61.105	61.105
0.094248	63.561	63.561
0.094248	65.381	65.381
0.094248	67.846	67.846
0.094248	70.080	70.080
0.094248	71.284	71.284
0.094248	75.280	75.280
0.094248	76.837	76.837
0.094248	78.314	78.314
0.094248	81.885	81.885
0.094248	82.483	82.483
0.094248	85.489	85.489
0.12566	9.4240	9.4240
0.12566	12.177	12.177
0.12566	18.160	18.160
0.12566	20.345	20.345
0.12566	23.600	23.600
0.12566	23.611	23.611
0.12566	23.659	23.659
0.12566	23.767	23.767
0.12566	23.965	23.965
0.12566	24.431	24.431
0.12566	25.253	25.253
0.12566	26.106	26.106
0.12566	26.813	26.813
0.12566	27.865	27.865
0.12566	29.829	29.829
0.12566	32.170	32.170
0.12566	34.508	34.508
0.12566	36.457	36.457
0.12566	38.355	38.355
0.12566	40.629	40.629
0.12566	43.404	43.404
0.12566	45.017	45.017
0.12566	47.748	47.748
0.12566	50.558	50.558
0.12566	52.641	52.641
0.12566	55.608	55.608
0.12566	58.708	58.708
0.12566	59.871	59.871
0.12566	61.658	61.658
0.12566	64.230	64.230
0.12566	64.251	64.251
0.12566	64.310	64.310
0.12566	64.509	64.509
0.12566	64.691	64.691
0.12566	65.189	65.189
0.12566	65.675	65.675
0.12566	66.957	66.957
0.12566	67.764	67.764
0.12566	68.908	68.908
0.12566	70.332	70.332
0.12566	71.778	71.778
0.12566	73.939	73.939
0.12566	75.832	75.832
0.12566	77.291	77.291
0.12566	79.216	79.216
0.12566	79.978	79.978
0.12566	83.177	83.177
0.12566	84.481	84.481
0.12566	86.248	86.248
0.12566	89.231	89.231
0.15708	9.9976	9.9976
0.15708	13.568	13.568
0.15708	19.180	19.180
0.15708	23.788	23.788
0.15708	27.460	27.460
0.15708	29.500	29.500
0.15708	29.510	29.510
0.15708	29.549	29.549
0.15708	29.635	29.635
0.15708	29.793	29.793
0.15708	30.174	30.174
0.15708	30.900	30.900
0.15708	31.859	31.859
0.15708	32.686	32.686
0.15708	34.028	34.028
0.15708	35.623	35.623
0.15708	37.850	37.850
0.15708	39.932	39.932
0.15708	41.655	41.655
0.15708	44.317	44.317
0.15708	45.847	45.847
0.15708	47.965	47.965
0.15708	50.727	50.727
0.15708	52.439	52.439
0.15708	55.217	55.217
0.15708	57.993	57.993
0.15708	60.166	60.166
0.15708	63.042	63.042
0.15708	65.526	65.526
0.15708	67.711	67.711
0.15708	70.558	70.558
0.15708	74.488	74.488
0.15708	77.672	77.672
0.15708	80.239	80.239
0.15708	80.288	80.288
0.15708	80.309	80.309
0.15708	80.363	80.363
0.15708	80.487	80.487
0.15708	80.747	80.747
0.15708	81.153	81.153
0.15708	81.724	81.724
0.15708	82.671	82.671
0.15708	83.476	83.476
0.15708	84.662	84.662
0.15708	85.808	85.808
0.15708	86.694	86.694
0.15708	88.807	88.807
0.15708	90.368	90.368
0.15708	91.717	91.717
0.15708	94.118	94.118
0.18850	10.685	10.685
0.18850	14.866	14.866
0.18850	19.839	19.839
0.18850	26.465	26.465
0.18850	29.608	29.608
0.18850	35.400	35.400
0.18850	35.410	35.410
0.18850	35.437	35.437
0.18850	35.496	35.496
0.18850	35.583	35.583
0.18850	35.738	35.738
0.18850	36.057	36.057
0.18850	36.670	36.670
0.18850	37.481	37.481
0.18850	38.245	38.245
0.18850	39.811	39.811
0.18850	41.948	41.948
0.18850	43.874	43.874
0.18850	45.319	45.319
0.18850	46.920	46.920
0.18850	49.003	49.003
0.18850	51.913	51.913
0.18850	52.180	52.180
0.18850	55.636	55.636
0.18850	58.143	58.143
0.18850	59.945	59.945
0.18850	62.554	62.554
0.18850	65.823	65.823
0.18850	68.598	68.598
0.18850	69.511	69.511
0.18850	73.297	73.297
0.18850	76.743	76.743
0.18850	79.428	79.428
0.18850	83.132	83.132
0.18850	85.552	85.552
0.18850	86.904	86.904
0.18850	89.223	89.223
0.18850	91.828	91.828
0.18850	94.873	94.873
0.18850	96.345	96.345
0.18850	96.373	96.373
0.18850	96.414	96.414
0.18850	96.534	96.534
0.18850	96.814	96.814
0.18850	97.237	97.237
0.18850	98.038	98.038
0.18850	98.579	98.579
0.18850	99.591	99.591
0.18850	100.80	100.80
0.18850	101.70	101.70
0.21991	11.540	11.540
0.21991	16.013	16.013
0.21991	20.529	20.529
